"treatment","handle","gender","racecat_anes","educ"
"control","Reduce how many people can see the post ","Male","Race other/multiple","College"
"uncivil","Place a warning label on the post ","Female","Black","College"
"non-group-related control","Leave it, do nothing","Male","White","College"
"intolerant","Place a warning label on the post ","Male","Race other/multiple","College"
"non-group-related control","Leave it, do nothing","Male","White","College"
"uncivil","Leave it, do nothing","Male","White","High school graduate"
"control","Place a warning label on the post ","Male","White","College"
"intolerant","Suspend the person’s account ","Male","White","Postgraduate (e.g. Masters)"
"uncivil","Leave it, do nothing","Male","White","Postgraduate (e.g. Masters)"
"threatening","Place a warning label on the post ","Female","White","College"
"intolerant","Leave it, do nothing","Female","Race other/multiple","College"
"control","Leave it, do nothing","Male","Hispanic","College"
"threatening","Suspend the person’s account ","Male","White","College"
"non-group-related control","Place a warning label on the post ","Male","Black","Professional degree"
"non-group-related control","Leave it, do nothing","Male","Race other/multiple","High school graduate"
"threatening","Place a warning label on the post ","Female","White","Postgraduate (e.g. Masters)"
"uncivil","Permanently remove the post ","Female","Hispanic","High school graduate"
"non-group-related control","Leave it, do nothing","Female","White","High school graduate"
"threatening","Suspend the person’s account ","Male","White","High school graduate"
"threatening","Leave it, do nothing","Female","White","College"
"intolerant","Leave it, do nothing","Male","Black","College"
"intolerant","Permanently remove the post ","Male","White","College"
"non-group-related control","Leave it, do nothing","Male","White","College"
"non-group-related control","Leave it, do nothing","Male","Race other/multiple","College"
"intolerant","Place a warning label on the post ","Female","White","College"
"uncivil","Leave it, do nothing","Female","White","College"
"control","Reduce how many people can see the post ","Male","White","High school graduate"
"uncivil","Leave it, do nothing","Male","White","College"
"control","Leave it, do nothing","Female","White","Postgraduate (e.g. Masters)"
"threatening","Suspend the person’s account ","Female","Race other/multiple","College"
"threatening","Leave it, do nothing","Female","White","College"
"intolerant","Leave it, do nothing","Male","Race other/multiple","Postgraduate (e.g. Masters)"
"control","Leave it, do nothing","Other","White","High school graduate"
"control","Leave it, do nothing","Male","White","High school graduate"
"non-group-related control","Leave it, do nothing","Female","Black","Postgraduate (e.g. Masters)"
"uncivil","Leave it, do nothing","Male","White","High school graduate"
"intolerant","Suspend the person’s account ","Female","White","High school graduate"
"uncivil","Leave it, do nothing","Female","White","College"
"intolerant","Leave it, do nothing","Male","White","Postgraduate (e.g. Masters)"
"control","Leave it, do nothing","Male","Hispanic","College"
"threatening","Reduce how many people can see the post ","Male","White","High school graduate"
"control","Reduce how many people can see the post ","Female","White","High school graduate"
"uncivil","Permanently remove the post ","Male","White","Less than high school"
"threatening","Place a warning label on the post ","Male","Hispanic","College"
"control","Leave it, do nothing","Female","White","College"
"uncivil","Suspend the person’s account ","Female","White","High school graduate"
"uncivil","Leave it, do nothing","Male","White","College"
"threatening","Leave it, do nothing","Male","White","PhD"
"intolerant","Leave it, do nothing","Male","White","High school graduate"
"non-group-related control","Leave it, do nothing","Female","White","High school graduate"
"threatening","Place a warning label on the post ","Male","Race other/multiple","College"
"control","Leave it, do nothing","Female","White","High school graduate"
"non-group-related control","Leave it, do nothing","Female","White","High school graduate"
"threatening","Place a warning label on the post ","Male","White","Professional degree"
"non-group-related control","Leave it, do nothing","Male","Race other/multiple","College"
"control","Leave it, do nothing","Female","Race other/multiple","Postgraduate (e.g. Masters)"
"non-group-related control","Leave it, do nothing","Female","White","College"
"intolerant","Place a warning label on the post ","Male","White","High school graduate"
"intolerant","Suspend the person’s account ","Female","Hispanic","College"
"uncivil","Leave it, do nothing","Female","White","College"
"control","Leave it, do nothing","Male","Race other/multiple","College"
"uncivil","Leave it, do nothing","Female","Hispanic","Postgraduate (e.g. Masters)"
"control","Leave it, do nothing","Male","White","High school graduate"
"threatening","Suspend the person’s account ","Female","Black","High school graduate"
"control","Suspend the person’s account ","Female","Race other/multiple","College"
"control","Leave it, do nothing","Male","White","High school graduate"
"uncivil","Leave it, do nothing","Male","White","High school graduate"
"uncivil","Place a warning label on the post ","Female","Hispanic","College"
"non-group-related control","Leave it, do nothing","Male","White","High school graduate"
"threatening","Suspend the person’s account ","Male","White","College"
"non-group-related control","Leave it, do nothing","Male","White","Professional degree"
